"","Subcellular.location..CC.","Intramembrane","Topological.domain","Transmembrane"
"Q2M2H8","SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.",NA,"TOPO_DOM 1..9; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 31..482; /note=Lumenal; /evidence=ECO:0000255","TRANSMEM 10..30; /note=Helical; /evidence=ECO:0000255"
"Q9UQ53","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:Q9D4R2}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q9D4R2}. Note=A processed soluble form also exists. {ECO:0000269|PubMed:17006639}.",NA,"TOPO_DOM 1..7; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 29..548; /note=Lumenal; /evidence=ECO:0000255","TRANSMEM 8..28; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"Q9UBM8","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.",NA,"TOPO_DOM 1..23; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 45..478; /note=Lumenal; /evidence=ECO:0000255","TRANSMEM 24..44; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"O60291","SUBCELLULAR LOCATION: Early endosome {ECO:0000269|PubMed:17229889, ECO:0000269|PubMed:19737927}. Note=The endosomal localization is dependent on the interaction with TSG101.; SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm, cytosol. Nucleus. Note=Translocation from the cytosol to the nucleus is seen only in the presence of MC1R and MC4R, but not TBXA2R. Excluded from nucleoli.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, cytosol. Nucleus. Note=Translocation from the cytosol to the nucleus is seen only in the presence of MC1R and MC4R, but not TBXA2R. Excluded from nucleoli.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm, cytosol. Cell membrane.; SUBCELLULAR LOCATION: [Isoform 4]: Cytoplasm, cytosol. Cell membrane.",NA,NA,NA
"Q5JRA6","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:19269366, ECO:0000269|PubMed:21525241, ECO:0000269|PubMed:32101163}; Single-pass membrane protein {ECO:0000269|PubMed:19269366}. Note=Localizes at endoplasmic reticulum exit sites (ERES), also known as transitional endoplasmic reticulum (tER) (PubMed:32101163). SEC16A is required for its proper localization to ERES. After loading of COL7A1 into transport carriers, it is not incorporated into COPII carriers and remains in the endoplasmic reticulum membrane. {ECO:0000269|PubMed:19269366, ECO:0000269|PubMed:21525241, ECO:0000269|PubMed:28442536}.","INTRAMEM 1145..1165; /evidence=ECO:0000255","TOPO_DOM 23..1144; /note=Lumenal; /evidence=ECO:0000255; TOPO_DOM 1166..1176; /note=Lumenal; /evidence=ECO:0000255; TOPO_DOM 1198..1907; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 1177..1197; /note=Helical; /evidence=ECO:0000255"
"Q86YT6","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:24121310}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite {ECO:0000269|PubMed:24121310}. Cell membrane {ECO:0000250}. Note=Localizes to the plasma membrane (By similarity). According to PubMed:15048887, it is mitochondrial, however such localization remains unclear. Displaced from centriolar satellites in response to cellular stress, such as ultraviolet light (UV) radiation or heat shock. {ECO:0000250}.",NA,NA,NA
"Q4G0A6",NA,NA,NA,NA
"Q8WV92","SUBCELLULAR LOCATION: Late endosome membrane; Peripheral membrane protein; Cytoplasmic side. Midbody. Membrane; Peripheral membrane protein; Cytoplasmic side. Note=During cytokinesis, recruited to the midbody via interaction with CHMP1A. Interacts with membranes enriched in phosphoinositides.",NA,NA,NA
"Q9UL63","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17467196}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:O89050}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:O89050}. Cell projection, ruffle {ECO:0000250|UniProtKB:O89050}. Cytoplasm, cell cortex {ECO:0000250|UniProtKB:O89050}. Synapse {ECO:0000250|UniProtKB:O89050}. Postsynapse {ECO:0000250|UniProtKB:O89050}. Note=Colocalizes with GABRA1 at synapses and in postsynaptic regions. Colocalizes with actin fibers in the cell cortex. {ECO:0000250|UniProtKB:O89050}.",NA,NA,NA
"Q5VWP3","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:34581780}. Nucleus envelope {ECO:0000250|UniProtKB:Q5FW52}. Nucleus, PML body {ECO:0000250|UniProtKB:Q5FW52}. Cytoplasm, cytosol {ECO:0000269|PubMed:34581780}. Cell membrane, sarcolemma {ECO:0000250|UniProtKB:Q5FW52}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q5FW52}; Cytoplasmic side {ECO:0000250|UniProtKB:Q5FW52}.",NA,NA,NA
"Q15546","SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Lysosome membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.",NA,"TOPO_DOM 1..28; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 50..61; /note=Lumenal; /evidence=ECO:0000255; TOPO_DOM 83..101; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 123..124; /note=Lumenal; /evidence=ECO:0000255; TOPO_DOM 146..151; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 173..174; /note=Lumenal; /evidence=ECO:0000255; TOPO_DOM 196..198; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 220..238; /note=Lumenal; /evidence=ECO:0000255","TRANSMEM 29..49; /note=Helical; /evidence=ECO:0000255; TRANSMEM 62..82; /note=Helical; /evidence=ECO:0000255; TRANSMEM 102..122; /note=Helical; /evidence=ECO:0000255; TRANSMEM 125..145; /note=Helical; /evidence=ECO:0000255; TRANSMEM 152..172; /note=Helical; /evidence=ECO:0000255; TRANSMEM 175..195; /note=Helical; /evidence=ECO:0000255; TRANSMEM 199..219; /note=Helical; /evidence=ECO:0000255"
"P03956","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305|PubMed:2167156}.",NA,NA,NA
"P51512","SUBCELLULAR LOCATION: [Isoform Long]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}; Extracellular side {ECO:0000305}. Note=Localized at the cell surface of melanoma cells.; SUBCELLULAR LOCATION: [Isoform Short]: Secreted, extracellular space, extracellular matrix. Cell surface. Note=Localized at the cell surface of melanoma cells.",NA,"TOPO_DOM 120..564; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 586..607; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 565..585; /note=Helical; /evidence=ECO:0000255"
"Q99542","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.",NA,NA,NA
"P08253","SUBCELLULAR LOCATION: [Isoform 1]: Secreted, extracellular space, extracellular matrix {ECO:0000305|PubMed:2834383}. Membrane. Nucleus. Note=Colocalizes with integrin alphaV/beta3 at the membrane surface in angiogenic blood vessels and melanomas. Found in mitochondria, along microfibrils, and in nuclei of cardiomyocytes.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm. Mitochondrion.",NA,NA,NA
"P08254","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix. Nucleus {ECO:0000269|PubMed:35940311}. Cytoplasm {ECO:0000269|PubMed:35940311}.",NA,NA,NA
"P09237","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305}.",NA,NA,NA
"P22894","SUBCELLULAR LOCATION: Cytoplasmic granule. Secreted, extracellular space, extracellular matrix {ECO:0000305}. Note=Stored in intracellular granules.",NA,NA,NA
"Q9H8L6","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:11559704}.",NA,NA,NA
"P41218","SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Note=Uniformly distributed throughout the interphase cell nucleus. Associates with chromatin.",NA,NA,NA
"Q9UJG1","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q8VEL0}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q8VEL0}; Multi-pass membrane protein {ECO:0000255}.",NA,NA,"TRANSMEM 159..179; /note=Helical; /evidence=ECO:0000255; TRANSMEM 191..211; /note=Helical; /evidence=ECO:0000255"
"Q8TAP9","SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Note=The subcellular location is regulated during cell cycle. During interphase located in the nucleus. During mitosis located at the centrosome and dispersed in the cytoplasm. During telophase located in the midbody. Colocalizes with PLK1 at the centrosome in M phase.",NA,NA,NA
"P05164","SUBCELLULAR LOCATION: Lysosome.",NA,NA,NA
"Q15777",NA,NA,NA,NA
"Q2QL34","SUBCELLULAR LOCATION: [Isoform 1]: Peroxisome membrane {ECO:0000269|PubMed:16631601}; Multi-pass membrane protein.",NA,"TOPO_DOM 1..16; /note=Cytoplasmic; TOPO_DOM 35..50; /note=Lumenal; TOPO_DOM 68..90; /note=Cytoplasmic; TOPO_DOM 109..150; /note=Lumenal; TOPO_DOM 168..196; /note=Cytoplasmic","TRANSMEM 17..34; /note=Helical; /evidence=ECO:0000255; TRANSMEM 51..67; /note=Helical; /evidence=ECO:0000255; TRANSMEM 91..108; /note=Helical; /evidence=ECO:0000255; TRANSMEM 151..167; /note=Helical; /evidence=ECO:0000255"
"O95297","SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.",NA,"TOPO_DOM 36..162; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 184..269; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 163..183; /note=Helical; /evidence=ECO:0000255"
"Q8TCY5","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15654338}; Single-pass membrane protein {ECO:0000269|PubMed:15654338}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:15654338}; Single-pass membrane protein {ECO:0000269|PubMed:15654338}. Note=The formation of antiparallel homo- and heterodimers suggest that N- and C-terminus can both localize in the cytoplasmic and extracellular parts, depending on the context (PubMed:20371771). Upon insulin stimulation, it is redistributed into spotty structures throughout the cytoplasm. {ECO:0000269|PubMed:20371771}.",NA,NA,"TRANSMEM 38..58; /note=Helical; /evidence=ECO:0000255"
"O14807","SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}.",NA,NA,NA
"Q8N565","SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:Q6NVG5}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q6NVG5}. Melanosome membrane {ECO:0000250|UniProtKB:Q6NVG5}; Lipid-anchor {ECO:0000250|UniProtKB:Q6NVG5}. Lysosome membrane {ECO:0000250|UniProtKB:Q6NVG5}; Lipid-anchor {ECO:0000250|UniProtKB:Q6NVG5}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:Q6NVG5}. Note=Localizes to the inner segment and basal outer segment of rods in the retina. {ECO:0000250|UniProtKB:Q6NVG5}.",NA,NA,NA
"Q9H2W1","SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.",NA,"TOPO_DOM 1..46; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 68..84; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 106..116; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 138..185; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 207..248; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 47..67; /note=Helical; /evidence=ECO:0000255; TRANSMEM 85..105; /note=Helical; /evidence=ECO:0000255; TRANSMEM 117..137; /note=Helical; /evidence=ECO:0000255; TRANSMEM 186..206; /note=Helical; /evidence=ECO:0000255"
"Q96DS6","SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.",NA,"TOPO_DOM 1..52; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 74..120; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 142..147; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 53..73; /note=Helical; /evidence=ECO:0000255; TRANSMEM 121..141; /note=Helical; /evidence=ECO:0000255"
"P43246","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26300262}. Chromosome {ECO:0000269|PubMed:26300262}.",NA,NA,NA
"P52701","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23622243}. Chromosome {ECO:0000269|PubMed:23622243}. Note=Associates with H3K36me3 via its PWWP domain.",NA,NA,NA
"Q13421","SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor. Golgi apparatus.; SUBCELLULAR LOCATION: [Megakaryocyte-potentiating factor]: Secreted.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.",NA,NA,NA
"Q1L6U9","SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:17338636, ECO:0000269|PubMed:24442440}.",NA,NA,NA
"Q4VC12",NA,NA,NA,NA
"Q9BTC8","SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00512, ECO:0000255|PROSITE-ProRule:PRU00624, ECO:0000269|PubMed:12705869, ECO:0000269|PubMed:28977666, ECO:0000269|PubMed:33283408}. Cytoplasm {ECO:0000250|UniProtKB:Q924K8}.",NA,NA,NA
"Q6P444","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}. Note=Associated with membranes. {ECO:0000250}.",NA,NA,NA
"Q2M296",NA,NA,NA,NA
"Q13613","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q9Z2C4}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9Z2C4}; Cytoplasmic side {ECO:0000250|UniProtKB:Q9Z2C4}. Cytoplasm {ECO:0000250|UniProtKB:Q9Z2C4}.",NA,NA,NA
"Q13614","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11733541, ECO:0000269|PubMed:12668758, ECO:0000269|PubMed:15998640}. Early endosome membrane {ECO:0000269|PubMed:15998640, ECO:0000269|PubMed:21372139}; Peripheral membrane protein {ECO:0000269|PubMed:15998640, ECO:0000269|PubMed:21372139}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:12668758}. Cell projection, axon {ECO:0000250|UniProtKB:Q9Z2D1}. Endosome membrane {ECO:0000250|UniProtKB:Q9Z2D1}; Peripheral membrane protein {ECO:0000305}. Note=Partly associated with membranes (PubMed:12668758, PubMed:15998640, PubMed:21372139). Localizes to vacuoles in hypo-osmotic conditions (By similarity). {ECO:0000250|UniProtKB:Q9Z2D1, ECO:0000269|PubMed:12668758, ECO:0000269|PubMed:15998640, ECO:0000269|PubMed:21372139}.",NA,NA,NA
"Q9NVV4","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18172165}. Mitochondrion {ECO:0000269|PubMed:15547249, ECO:0000269|PubMed:15769737}.",NA,NA,NA
"Q9HC84","SUBCELLULAR LOCATION: Secreted.",NA,NA,NA
"Q96EY5","SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Endosome. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Late endosome membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}. Note=Colocalizes with F-actin. Some fraction may be nuclear.",NA,NA,NA
"Q9H7P6","SUBCELLULAR LOCATION: Endosome {ECO:0000305}. Late endosome membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}.",NA,NA,NA
"Q03426","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14730012}. Peroxisome {ECO:0000250|UniProtKB:P17256}.",NA,NA,NA
"Q9BQG0","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12429849}. Nucleus {ECO:0000269|PubMed:12429849}. Nucleus, nucleolus {ECO:0000269|PubMed:12429849}. Note=Shuttles between the nucleus and cytoplasm. Nuclear import may be mediated by KPNA2, while export appears to depend partially on XPO1/CRM1 (By similarity). Predominantly nucleolar. {ECO:0000250|UniProtKB:Q7TPV4}.",NA,NA,NA
"A2RUH7","SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere {ECO:0000305|PubMed:28778945}.",NA,NA,NA
"O75592","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26304119, ECO:0000269|PubMed:9689053}. Cell projection, axon {ECO:0000250|UniProtKB:Q7TPH6}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q7TPH6}. Note=Localizes to axon shafts and associates with microtubule cytoskeleton (By similarity). Translocates to the nucleus following interaction with sumoylated RANGAP1 (PubMed:26304119). {ECO:0000250|UniProtKB:Q7TPH6, ECO:0000269|PubMed:26304119}.",NA,NA,NA
"Q8TBZ2","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12151104}. Membrane {ECO:0000250|UniProtKB:Q69CM7}. Note=Colocalizes with MYCBP in the cytoplasm. {ECO:0000250|UniProtKB:Q69CM7, ECO:0000269|PubMed:12151104}.",NA,NA,NA
"Q8N699","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12673574}. Note=Expressed in nuclei of hepatocellular carcinoma cell line BEL-7402 cells.",NA,NA,NA
"Q99836","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15361868, ECO:0000269|PubMed:15492225}. Nucleus {ECO:0000269|PubMed:21057262}.",NA,NA,NA
"Q96EZ4",NA,NA,NA,NA
"Q9Y2K3","SUBCELLULAR LOCATION: Cytoplasm, myofibril. Note=Thick filaments of the myofibrils.",NA,NA,NA
"Q32MK0","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.",NA,NA,NA
"Q86YV6",NA,NA,NA,NA
"A0A1B0GTQ4","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q2Q5T5}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q2Q5T5}.",NA,"TOPO_DOM 1..4; /note=Cytoplasmic; /evidence=ECO:0000250|UniProtKB:Q2Q5T5; TOPO_DOM 26..84; /note=Extracellular; /evidence=ECO:0000250|UniProtKB:Q2Q5T5","TRANSMEM 5..25; /note=Helical; /evidence=ECO:0000255"
"Q9Y6X6","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9ERC1}. Note=Found in puncta in soma and processes of astrocytes and dissociated cerebellar cells with the morphology of migrating granule cells. {ECO:0000250|UniProtKB:Q9ERC1}.",NA,NA,NA
"Q9NZM1","SUBCELLULAR LOCATION: Cell membrane; Single-pass type II membrane protein. Nucleus membrane; Single-pass type II membrane protein. Cytoplasmic vesicle membrane; Single-pass type II membrane protein. Note=Concentrated at the membrane sites of both myoblast-myoblast and myoblast-myotube fusions. Detected at the plasmalemma in endothelial cells lining intact blood vessels (By similarity). Found at nuclear and plasma membranes. Enriched in undifferentiated myoblasts near the plasma membrane in puncate structures. {ECO:0000250}.",NA,"TOPO_DOM 1..2025; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 2047..2061; /note=Extracellular; /evidence=ECO:0000255","TRANSMEM 2026..2046; /note=Helical; /evidence=ECO:0000255"
"Q5VTT5","SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere, M line {ECO:0000250}.",NA,NA,NA
"Q86TC9","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11309420}. Nucleus {ECO:0000269|PubMed:11309420}. Cytoplasm, myofibril, sarcomere {ECO:0000269|PubMed:11309420}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:11309420, ECO:0000269|PubMed:28017374}. Note=Bound to sarcomere both at the Z-line periphery and in the central I-band region. {ECO:0000269|PubMed:11309420}.",NA,NA,NA
"Q9UL68","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P97500}. Chromosome {ECO:0000250|UniProtKB:P97500}. Note=Preferentially binds to DNA binding sites that are in an open chromatin configuration. {ECO:0000250|UniProtKB:P97500}.",NA,NA,NA
"Q96RE7","SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Note=Distribution in the cytoplasm is dependent on phosphorylation. {ECO:0000250}.",NA,NA,NA
"Q6IA69",NA,NA,NA,NA
"Q9H9S0","SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108, ECO:0000269|PubMed:15983365}.",NA,NA,NA
"Q6NSW7","SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108, ECO:0000269|PubMed:16623708}.",NA,NA,NA
"Q99457","SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.",NA,NA,NA
"Q8NCW5","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03159}. Secreted {ECO:0000255|HAMAP-Rule:MF_03159, ECO:0000269|PubMed:11991719}. Note=In sperm, secretion gradually increases during capacitation. {ECO:0000255|HAMAP-Rule:MF_03159}.",NA,NA,NA
"Q14596","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19427866, ECO:0000269|PubMed:35914352}. Cytoplasmic vesicle, autophagosome {ECO:0000269|PubMed:19250911, ECO:0000269|PubMed:24879152}. Lysosome {ECO:0000269|PubMed:19250911}. Cytoplasm, myofibril, sarcomere, M line {ECO:0000250|UniProtKB:Q501R9}. Note=In cardiac muscles localizes to the sarcomeric M line (By similarity). Is targeted to lysosomes for degradation (PubMed:19250911). {ECO:0000250|UniProtKB:Q501R9, ECO:0000269|PubMed:19250911}.",NA,NA,NA
"Q9NV92","SUBCELLULAR LOCATION: Endosome membrane {ECO:0000269|PubMed:18776082}; Multi-pass membrane protein {ECO:0000269|PubMed:18776082}. Golgi apparatus membrane {ECO:0000269|PubMed:12796489, ECO:0000269|PubMed:26363003}. Endosome, multivesicular body membrane {ECO:0000269|PubMed:26363003}.",NA,"TOPO_DOM 1..231; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 253..257; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 279..287; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 309..336; /note=Extracellular; /evidence=ECO:0000255","TRANSMEM 232..252; /note=Helical; /evidence=ECO:0000255; TRANSMEM 258..278; /note=Helical; /evidence=ECO:0000255; TRANSMEM 288..308; /note=Helical; /evidence=ECO:0000255"
"Q8TB73","SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20969804, ECO:0000269|PubMed:24706764, ECO:0000269|PubMed:31883645}.",NA,NA,NA
"Q00604","SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:9407136}.",NA,NA,NA
"Q9UGV2",NA,NA,NA,NA
"Q8NC96","SUBCELLULAR LOCATION: Cytoplasmic vesicle, clathrin-coated vesicle membrane {ECO:0000250}. Cell membrane {ECO:0000250}. Note=Colocalizes with AP-2 at the plasma membrane. {ECO:0000250}.",NA,NA,NA
"Q7Z3B1","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Lipid-anchor, GPI-anchor {ECO:0000250}.",NA,NA,NA
"Q969S2","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12097317}.",NA,NA,NA
"Q6ZWH5",NA,NA,NA,NA
"Q8IXH7","SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.",NA,NA,NA
"Q99435","SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q62918}.",NA,NA,NA
"Q7Z628","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.",NA,NA,NA
"Q99519","SUBCELLULAR LOCATION: Lysosome membrane; Peripheral membrane protein; Lumenal side. Lysosome lumen. Cell membrane. Cytoplasmic vesicle. Lysosome {ECO:0000269|PubMed:25153125}. Note=Localized not only on the inner side of the lysosomal membrane and in the lysosomal lumen, but also on the plasma membrane and in intracellular vesicles.",NA,NA,NA
"Q9UQ49","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10861246, ECO:0000269|PubMed:17708748, ECO:0000269|PubMed:26251452, ECO:0000269|PubMed:28646141}; Peripheral membrane protein {ECO:0000269|PubMed:10861246, ECO:0000269|PubMed:17708748}. Membrane, caveola {ECO:0000269|PubMed:12011038}. Early endosome membrane {ECO:0000269|PubMed:26251452}; Peripheral membrane protein {ECO:0000305|PubMed:26251452}. Recycling endosome membrane {ECO:0000269|PubMed:26251452}; Peripheral membrane protein {ECO:0000305|PubMed:26251452}. Lysosome membrane {ECO:0000269|PubMed:26251452}; Peripheral membrane protein {ECO:0000305|PubMed:26251452}. Note=Associates with the external leaflet of the plasma membrane (By similarity). S-acylated NEU3 likely spans the lipid bilayer with a portion of C-terminus exposed to the cytosol and the catalytic region facing the extracellular space (PubMed:28646141). {ECO:0000250|UniProtKB:Q9JMH7, ECO:0000269|PubMed:28646141}.",NA,NA,NA
"Q9BR09","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.",NA,NA,NA
"Q9Y4A8","SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00978}.",NA,NA,NA
"Q6VVB1","SUBCELLULAR LOCATION: Endoplasmic reticulum. Nucleus. Note=Localizes at the endoplasmic reticulum and, to a lesser extent, in the nucleus.",NA,NA,NA
"P14543","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane.",NA,NA,NA
"Q9GZT8","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11124544, ECO:0000269|PubMed:12951069}. Nucleus {ECO:0000250|UniProtKB:Q9EQ80}. Note=Interaction with COPS2 may regulate localization to the nucleus. {ECO:0000250|UniProtKB:Q9EQ80}.",NA,NA,NA
"Q6KC79","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28167679, ECO:0000269|PubMed:28914604}. Chromosome {ECO:0000250|UniProtKB:Q6KCD5}.",NA,NA,NA
"Q9Y2I1","SUBCELLULAR LOCATION: Cell membrane. Cytoplasm. Early endosome. Recycling endosome. Note=Enriched in the early/sorting and recycling endosomes. Colocalized in early/sorting endosomes with EEA1 and SNX2 and in recycling endosomes with transferrin receptor. Detected in the perinuclear region partially associated with punctate structures (By similarity). Colocalizes with PAK1 in cytoplasm, vesicular structures in the perinuclear area and membrane ruffles (By similarity). Colocalizes with RAC1 in the cytoplasm and vesicles structures (By similarity). Colocalized with MAPK1 and MAPK3 in RVLM neurons (By similarity). {ECO:0000250}.",NA,NA,NA
"Q16617","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:8570616}; Multi-pass membrane protein {ECO:0000269|PubMed:8570616}. Cytolytic granule membrane {ECO:0000269|PubMed:8570616}; Multi-pass membrane protein {ECO:0000269|PubMed:8570616}.",NA,NA,"TRANSMEM 9..29; /note=Helical; /evidence=ECO:0000255; TRANSMEM 61..81; /note=Helical; /evidence=ECO:0000255; TRANSMEM 92..112; /note=Helical; /evidence=ECO:0000255; TRANSMEM 133..153; /note=Helical; /evidence=ECO:0000255"
"P43699","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P50220}.",NA,NA,NA
"Q7RTR2","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15705585, ECO:0000269|PubMed:24560620, ECO:0000269|PubMed:25277106}.",NA,NA,NA
