"Gene","Gene.synonym","Ensembl","Gene.description","Uniprot","Chromosome","Position","Protein.class","Biological.process","Molecular.function","Disease.involvement","Evidence","HPA.evidence","UniProt.evidence","NeXtProt.evidence","RNA.tissue.specificity","RNA.tissue.distribution","RNA.tissue.specificity.score","RNA.tissue.specific.nTPM","RNA.single.cell.type.specificity","RNA.single.cell.type.distribution","RNA.single.cell.type.specificity.score","RNA.single.cell.type.specific.nTPM","RNA.cancer.specificity","RNA.cancer.distribution","RNA.cancer.specificity.score","RNA.cancer.specific.FPKM","RNA.brain.regional.specificity","RNA.brain.regional.distribution","RNA.brain.regional.specificity.score","RNA.brain.regional.specific.nTPM","RNA.blood.cell.specificity","RNA.blood.cell.distribution","RNA.blood.cell.specificity.score","RNA.blood.cell.specific.nTPM","RNA.blood.lineage.specificity","RNA.blood.lineage.distribution","RNA.blood.lineage.specificity.score","RNA.blood.lineage.specific.nTPM","RNA.cell.line.specificity","RNA.cell.line.distribution","RNA.cell.line.specificity.score","RNA.cell.line.specific.nTPM","RNA.tissue.cell.type.enrichment","RNA.mouse.brain.regional.specificity","RNA.mouse.brain.regional.distribution","RNA.mouse.brain.regional.specificity.score","RNA.mouse.brain.regional.specific.nTPM","RNA.pig.brain.regional.specificity","RNA.pig.brain.regional.distribution","RNA.pig.brain.regional.specificity.score","RNA.pig.brain.regional.specific.nTPM","Antibody","Reliability..IH.","Reliability..Mouse.Brain.","Reliability..IF.","Subcellular.location","Secretome.location","CCD.Protein","CCD.Transcript","Blood.concentration...Conc..blood.IM..pg.L.","Blood.concentration...Conc..blood.MS..pg.L.","Blood.expression.cluster","Tissue.expression.cluster","Cell.line.expression.cluster","Single.cell.expression.cluster","Subcellular.main.location","Subcellular.additional.location","Antibody.RRID","Pathology.prognostics...Breast.cancer","Pathology.prognostics...Cervical.cancer","Pathology.prognostics...Colorectal.cancer","Pathology.prognostics...Endometrial.cancer","Pathology.prognostics...Glioma","Pathology.prognostics...Head.and.neck.cancer","Pathology.prognostics...Liver.cancer","Pathology.prognostics...Lung.cancer","Pathology.prognostics...Melanoma","Pathology.prognostics...Ovarian.cancer","Pathology.prognostics...Pancreatic.cancer","Pathology.prognostics...Prostate.cancer","Pathology.prognostics...Renal.cancer","Pathology.prognostics...Stomach.cancer","Pathology.prognostics...Testis.cancer","Pathology.prognostics...Thyroid.cancer","Pathology.prognostics...Urothelial.cancer"
"TNK1","KOS1","ENSG00000174292","Tyrosine kinase non receptor 1","Q13470","17","7380534-7389774","Enzymes, Predicted intracellular proteins","","Kinase, Transferase, Tyrosine-protein kinase","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in many",NA,"","Cell type enhanced","Detected in many",NA,"Basal squamous epithelial cells: 12.1;Distal enterocytes: 13.8;Gastric mucus-secreting cells: 11.9","Low cancer specificity","Detected in many",NA,"","Region enhanced","Detected in single",NA,"cerebellum: 1.9","Low immune cell specificity","Detected in some",NA,"","Low lineage specificity","Detected in single",NA,"","Low cancer specificity","Detected in many",NA,"","Adipose visceral - Mesothelial cells","Not detected","Not detected",NA,"","Low region specificity","Detected in many",NA,"","HPA012065, HPA056452","Uncertain","","Approved","Cell Junctions","",NA,NA,NA,NA,"Cluster 32: T-cells - Unknown function","Cluster 18: Non-specific - Mitochondria","Cluster 60: Keratinocytes - Epithelial cell function","Cluster 22: Squamous epithelial cells - Keratinization","Cell Junctions","","HPA012065: AB_1858165, HPA056452: ","unprognostic (4.90e-2)","unprognostic (1.93e-1)","unprognostic (2.95e-1)","prognostic favorable (4.28e-4)","unprognostic (2.84e-1)","unprognostic (1.60e-1)","unprognostic (1.41e-2)","unprognostic (3.65e-1)","unprognostic (2.20e-1)","unprognostic (2.52e-2)","unprognostic (2.43e-1)","unprognostic (3.10e-1)","prognostic favorable (6.40e-4)","unprognostic (1.77e-3)","unprognostic (1.61e-1)","unprognostic (1.38e-1)","prognostic favorable (1.52e-4)"
"TNNI2","AMCD2B, DA2B, FSSV","ENSG00000130598","Troponin I2, fast skeletal type","P48788","11","1838981-1841680","Disease related genes, Human disease related genes, Predicted intracellular proteins","","Actin-binding, Muscle protein","Disease variant","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Group enriched","Detected in many",25,"skeletal muscle: 7969.8;tongue: 2622.3","Cell type enriched","Detected in many",16,"Skeletal myocytes: 9387.7","Group enriched","Detected in many",10,"cervical cancer: 12.7;head and neck cancer: 33.6;pancreatic cancer: 12.9;urothelial cancer: 39.8","Not detected","Not detected",NA,"","Immune cell enhanced","Detected in many",NA,"plasmacytoid DC: 86.4","Low lineage specificity","Detected in many",NA,"","Cancer enhanced","Detected in many",NA,"Bladder cancer: 7.9","Skeletal muscle - Skeletal myocytes","Region enriched","Detected in single",6,"olfactory bulb: 5.1","Not detected","Not detected",NA,"","CAB018697, HPA055938","Enhanced","","Approved","Plasma membrane,Intermediate filaments","",NA,NA,NA,110000,"Cluster 52: Eosinophils - Transcription","Cluster 33: Striated muscle - Muscle contraction","Cluster 12: Lymphoid cancers - Adaptive immune response","Cluster 27: Skeletal myocytes - Muscle contraction","Plasma membrane","Intermediate filaments","CAB018697: AB_628400, HPA055938: AB_2682976","unprognostic (2.03e-2)","unprognostic (1.13e-1)","unprognostic (1.29e-2)","unprognostic (3.70e-1)","unprognostic (1.85e-1)","unprognostic (1.02e-2)","unprognostic (9.99e-3)","unprognostic (1.01e-1)","unprognostic (1.73e-1)","unprognostic (1.51e-1)","unprognostic (1.10e-1)","unprognostic (2.70e-1)","unprognostic (1.23e-3)","unprognostic (5.92e-3)","unprognostic (5.62e-2)","unprognostic (1.77e-1)","unprognostic (2.79e-2)"
"TOGARAM2","Crescerin-2, FAM179A, FLJ43249, LOC165186","ENSG00000189350","TOG array regulator of axonemal microtubules 2","Q6ZUX3","2","28956611-29052230","Predicted intracellular proteins","","","","Evidence at protein level","Evidence at transcript level","Evidence at transcript level","Evidence at protein level","Group enriched","Detected in many",9,"brain: 34.9;choroid plexus: 25.2;fallopian tube: 20.1","Cell type enhanced","Detected in many",NA,"Astrocytes: 43.0;Cone photoreceptor cells: 24.1;Endometrial ciliated cells: 59.8;Inhibitory neurons: 26.9;Late spermatids: 41.0;NK-cells: 27.7;Oligodendrocyte precursor cells: 23.6;Respiratory ciliated cells: 72.4","Not detected","Not detected",NA,"","Low region specificity","Detected in all",NA,"","Immune cell enhanced","Detected in some",NA,"gdT-cell: 1.6","Low lineage specificity","Detected in single",NA,"","Cancer enhanced","Detected in single",NA,"Rhabdoid: 1.9","Lung - Respiratory ciliated cells, Testis - Late spermatids","Low region specificity","Detected in many",NA,"","","",NA,"","HPA037561, HPA037562, HPA075216","Uncertain","","Approved","Nucleoplasm,Plasma membrane","",NA,NA,NA,NA,"Cluster 36: GdT-cells - Adaptive immune response","Cluster 88: Choroid plexus - Transmembrane transport","Cluster 2: DU4475 - Unknown function","Cluster 56: Ciliated cells - Cilium assembly","Nucleoplasm, Plasma membrane","","HPA037561: AB_10670384, HPA037562: AB_2675545, HPA075216: ","unprognostic (8.35e-5)","unprognostic (2.85e-3)","unprognostic (1.41e-1)","unprognostic (7.01e-3)","unprognostic (6.41e-2)","unprognostic (1.23e-2)","unprognostic (1.11e-1)","unprognostic (2.53e-3)","unprognostic (3.93e-1)","unprognostic (6.83e-2)","unprognostic (2.32e-3)","unprognostic (5.92e-2)","unprognostic (3.94e-11)","unprognostic (3.75e-2)","unprognostic (4.46e-1)","unprognostic (2.01e-2)","unprognostic (2.81e-3)"
"TPD52L1","D53, hD53, TPD53","ENSG00000111907","TPD52 like 1","Q16890","6","125119049-125264407","Plasma proteins, Predicted intracellular proteins","","","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"adrenal gland: 258.3;salivary gland: 298.3","Cell type enhanced","Detected in many",NA,"Astrocytes: 378.0;Serous glandular cells: 349.5;Squamous epithelial cells: 302.5","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in some",NA,"","Low lineage specificity","Detected in many",NA,"","Low cancer specificity","Detected in many",NA,"","Liver - Hepatocytes, Skin - Eccrine sweat gland cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA027915, HPA027916","Enhanced","","Approved","Plasma membrane,Cell Junctions,Cytosol","",NA,NA,NA,NA,"Cluster 48: NK-cells - Unknown function","Cluster 27: Brain & Skin - Unknown function","Cluster 2: DU4475 - Unknown function","Cluster 21: Serous glandular cells - Salivary secretion","Plasma membrane, Cell Junctions, Cytosol","","HPA027915: AB_10602074, HPA027916: AB_10601860","unprognostic (1.44e-1)","unprognostic (2.01e-2)","unprognostic (2.76e-2)","unprognostic (1.26e-1)","unprognostic (1.39e-1)","unprognostic (2.87e-2)","unprognostic (1.38e-2)","unprognostic (2.14e-1)","unprognostic (7.85e-2)","unprognostic (7.80e-2)","unprognostic (9.42e-3)","unprognostic (1.76e-1)","prognostic favorable (3.26e-4)","unprognostic (1.06e-1)","unprognostic (6.83e-2)","prognostic favorable (3.97e-4)","prognostic unfavorable (5.34e-4)"
"TPRN","C9orf75, DFNB79, FLJ90254","ENSG00000176058","Taperin","Q4KMQ1","9","137191617-137204193","Disease related genes, Human disease related genes, Predicted intracellular proteins","Hearing","","Deafness, Non-syndromic deafness","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"brain: 56.4;pancreas: 91.4","Cell type enhanced","Detected in many",NA,"Alveolar cells type 1: 53.6;Distal enterocytes: 134.4;Proximal enterocytes: 82.9","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Low cancer specificity","Detected in all",NA,"","Heart muscle - Cardiomyocytes, Skin - Keratinocyte (granular)","Low region specificity","Detected in all",NA,"","Region enhanced","Detected in all",NA,"cerebellum: 23.6","HPA020899, HPA076667","Approved","","Approved","Plasma membrane","",NA,NA,NA,NA,"Cluster 27: Non-specific - Gene expression","Cluster 22: Non-specific - Unknown function","Cluster 55: Non-specific - Unknown function","Cluster 50: Enterocytes - Absorption","Plasma membrane","","HPA020899: AB_1845835, HPA076667: ","unprognostic (5.41e-2)","prognostic favorable (2.13e-4)","unprognostic (2.94e-1)","unprognostic (9.28e-2)","unprognostic (1.68e-1)","unprognostic (2.61e-2)","unprognostic (3.59e-3)","unprognostic (8.20e-2)","unprognostic (9.96e-2)","unprognostic (1.21e-1)","unprognostic (1.89e-2)","unprognostic (4.77e-2)","prognostic favorable (5.16e-9)","unprognostic (1.96e-3)","unprognostic (6.35e-2)","unprognostic (1.51e-1)","unprognostic (5.44e-2)"
"TRAIP","RNF206, TRIP","ENSG00000183763","TRAF interacting protein","Q9BWF2","3","49828601-49856574","Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins","DNA damage, DNA repair, Ubl conjugation pathway","Transferase","Disease variant, Dwarfism, Intellectual disability","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in many",NA,"","Cell type enhanced","Detected in many",NA,"Extravillous trophoblasts: 9.0;Spermatocytes: 14.2;Spermatogonia: 8.4","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in many",NA,"","Low immune cell specificity","Detected in many",NA,"","Low lineage specificity","Detected in many",NA,"","Low cancer specificity","Detected in all",NA,"","Adipose subcutaneous - Adipose progenitor cells, Lung - Mitotic cells (Lung), Stomach - Mitotic cells (Stomach)","Low region specificity","Detected in all",NA,"","Region enhanced","Detected in many",NA,"basal ganglia: 10.8","HPA036261, HPA036262","Enhanced","","Supported","Plasma membrane,Cytosol","",NA,NA,NA,NA,"Cluster 37: B-cells - Transcription","Cluster 53: Non-specific - Cell cycle regulation","Cluster 5: Non-specific - Unknown function","Cluster 43: Non-specific - Cell proliferation","Plasma membrane, Cytosol","","HPA036261: AB_10673348, HPA036262: AB_2675029","unprognostic (5.30e-3)","unprognostic (9.41e-2)","unprognostic (1.48e-1)","unprognostic (6.50e-3)","unprognostic (1.88e-1)","unprognostic (7.68e-3)","prognostic unfavorable (8.77e-5)","unprognostic (4.61e-2)","unprognostic (1.52e-2)","unprognostic (8.61e-2)","unprognostic (1.24e-2)","unprognostic (7.97e-2)","unprognostic (9.01e-5)","unprognostic (5.84e-2)","unprognostic (4.24e-1)","unprognostic (1.78e-1)","unprognostic (1.24e-1)"
"TRDN","TRISK","ENSG00000186439","Triadin","Q13061","6","123216339-123637093","Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","Disease variant","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"heart muscle: 421.6;skeletal muscle: 1944.1;tongue: 1018.2","Group enriched","Detected in some",17,"Cardiomyocytes: 1553.8;Muller glia cells: 599.3;Skeletal myocytes: 2078.5","Group enriched","Detected in some",5,"head and neck cancer: 2.2;prostate cancer: 0.6","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enriched","Detected in single",17,"Rhabdoid: 15.6","Heart muscle - Cardiomyocytes, Testis - Early spermatids","Region enriched","Detected in some",10,"olfactory bulb: 11.0","Region enriched","Detected in some",23,"olfactory bulb: 28.9","HPA038226, HPA058226","Enhanced","","Approved","Plasma membrane,Centrosome,Cytosol","",NA,NA,NA,NA,"Cluster 41: Basophils - Cellular respiration","Cluster 13: Striated muscle - Muscle contraction","Cluster 22: Rhabdoid cancers - Neuronal signaling","Cluster 77: Cardiomyocytes - Muscle contraction","Plasma membrane","Centrosome, Cytosol","HPA038226: AB_10795574, HPA058226: AB_2683643","unprognostic (1.05e-2)","","","unprognostic (1.99e-1)","unprognostic (9.20e-2)","unprognostic (3.06e-3)","","unprognostic (2.40e-1)","unprognostic (2.38e-1)","unprognostic (2.42e-1)","unprognostic (8.42e-2)","unprognostic (8.71e-2)","unprognostic (9.93e-3)","unprognostic (2.12e-1)","unprognostic (2.55e-2)","","unprognostic (3.97e-2)"
"TRIM36","HAPRIN, RBCC728, RNF98","ENSG00000152503","Tripartite motif containing 36","Q9NQ86","5","115124762-115180546","Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins","Ubl conjugation pathway","Transferase","Disease variant","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Group enriched","Detected in many",5,"retina: 44.2;testis: 174.3","Group enriched","Detected in many",31,"Early spermatids: 1356.3;Late spermatids: 5063.8","Cancer enhanced","Detected in many",NA,"prostate cancer: 9.0","Low region specificity","Detected in all",NA,"","Immune cell enhanced","Detected in many",NA,"myeloid DC: 5.8;non-classical monocyte: 6.5","Group enriched","Detected in many",48,"dendritic cells: 5.8;granulocytes: 3.2;monocytes: 6.5","Cancer enhanced","Detected in many",NA,"prostate cancer: 22.8","Prostate - Prostate glandular cells, Stomach - Chief cells, Testis - Early spermatids, Testis - Late spermatids","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA004696","","","Supported","Plasma membrane,Cytosol","",NA,NA,NA,NA,"Cluster 45: Eosinophils - Innate immune response","Cluster 77: Retina - Visual perception","Cluster 41: Non-specific - Cilium assembly","Cluster 36: Spermatids - Spermatogenesis","Cytosol","Plasma membrane","HPA004696: ","unprognostic (6.36e-2)","unprognostic (2.99e-1)","unprognostic (4.54e-2)","unprognostic (1.32e-1)","unprognostic (1.55e-1)","unprognostic (2.31e-2)","unprognostic (5.33e-6)","unprognostic (2.19e-1)","unprognostic (1.17e-1)","unprognostic (1.94e-1)","unprognostic (1.84e-1)","unprognostic (1.90e-1)","unprognostic (2.82e-13)","unprognostic (4.95e-2)","unprognostic (1.38e-1)","unprognostic (2.19e-1)","unprognostic (6.80e-3)"
"TRIM38","RNF15, RORET","ENSG00000112343","Tripartite motif containing 38","O00635","6","25962802-25991231","Enzymes, Predicted intracellular proteins","Immunity, Innate immunity, Ubl conjugation pathway","Transferase","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in many",NA,"","Cell type enhanced","Detected in many",NA,"monocytes: 161.3","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in many",NA,"","","Not detected","Not detected",NA,"","Low region specificity","Detected in all",NA,"","HPA031685","Approved","","Approved","Plasma membrane,Cell Junctions,Centrosome","",NA,NA,NA,NA,"Cluster 23: Antigen presenting cells - Antigen presentation","Cluster 16: Immune cells - Immune response","Cluster 54: Lymphoma - Cytokine signaling","Cluster 33: Macrophages - Degranulation","Centrosome","Plasma membrane, Cell Junctions","HPA031685: AB_10603218","unprognostic (6.62e-2)","unprognostic (1.65e-3)","unprognostic (3.34e-1)","unprognostic (2.72e-2)","unprognostic (1.25e-1)","unprognostic (6.51e-2)","unprognostic (7.79e-2)","unprognostic (3.27e-2)","unprognostic (2.78e-2)","prognostic favorable (8.95e-5)","unprognostic (2.81e-2)","unprognostic (6.28e-2)","unprognostic (2.73e-1)","unprognostic (3.36e-1)","unprognostic (4.49e-2)","prognostic favorable (8.20e-5)","prognostic favorable (4.94e-9)"
"TRIM54","MURF, MURF-3, RNF30","ENSG00000138100","Tripartite motif containing 54","Q9BYV2","2","27282429-27307439","Predicted intracellular proteins","Differentiation","Developmental protein","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Group enriched","Detected in many",13,"heart muscle: 213.2;skeletal muscle: 580.7;tongue: 177.3","Group enriched","Detected in some",5,"Cardiomyocytes: 125.6;Skeletal myocytes: 213.8","Low cancer specificity","Detected in many",NA,"","Region enhanced","Detected in many",NA,"cerebral cortex: 5.1","Immune cell enriched","Detected in single",17,"NK-cell: 3.6","Lineage enriched","Detected in single",17,"NK-cells: 3.6","Cancer enhanced","Detected in some",NA,"Gastric cancer: 2.7;liver cancer: 2.5","Adipose visceral - Smooth muscle cells, Heart muscle - Cardiomyocytes, Kidney - Podocytes","Region enhanced","Detected in some",NA,"amygdala: 3.1","","",NA,"","HPA019690","Uncertain","","Approved","Plasma membrane,Cytosol","",NA,NA,NA,NA,"Cluster 48: NK-cells - Unknown function","Cluster 13: Striated muscle - Muscle contraction","Cluster 19: Stomach & Colon cancer - Absorption","Cluster 74: Pancreatic cells - Mixed function","Plasma membrane, Cytosol","","HPA019690: AB_1858306","unprognostic (6.98e-3)","unprognostic (4.56e-3)","unprognostic (3.22e-2)","unprognostic (2.24e-2)","unprognostic (1.58e-3)","unprognostic (7.49e-2)","unprognostic (1.25e-7)","unprognostic (3.88e-3)","unprognostic (2.29e-1)","unprognostic (2.95e-1)","unprognostic (2.56e-3)","unprognostic (6.91e-2)","prognostic unfavorable (6.46e-4)","unprognostic (2.41e-2)","unprognostic (3.19e-1)","unprognostic (1.15e-1)","unprognostic (6.92e-2)"
"TRO","KIAA1114, MAGE-D3, MAGED3","ENSG00000067445","Trophinin","Q12816","X","54920462-54931431","Cancer-related genes, Plasma proteins, Predicted intracellular proteins","Cell adhesion","","Cancer-related genes","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"skeletal muscle: 31.1","Cell type enhanced","Detected in many",NA,"Astrocytes: 9.2;Excitatory neurons: 14.4;Granulosa cells: 12.4;Inhibitory neurons: 19.6;Oligodendrocyte precursor cells: 16.4;Oligodendrocytes: 8.9","Cancer enhanced","Detected in many",NA,"testis cancer: 11.7","Low region specificity","Detected in many",NA,"","Immune cell enhanced","Detected in single",NA,"NK-cell: 2.2","Low lineage specificity","Detected in single",NA,"","Cancer enhanced","Detected in many",NA,"testis cancer: 74.2","Liver - Hepatocytes, Stomach - Fibroblasts","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA000537","","","Approved","Cell Junctions,Cytosol","",NA,NA,NA,NA,"Cluster 40: NK-cells - Unknown function","Cluster 47: Non-specific - Unknown function","Cluster 21: Neuroblastoma - Neuronal signaling","Cluster 52: Endometrial stromal cells - ECM organization","Cell Junctions","Cytosol","HPA000537: ","unprognostic (6.18e-2)","unprognostic (1.01e-1)","unprognostic (2.24e-2)","prognostic unfavorable (4.41e-5)","unprognostic (9.09e-3)","unprognostic (2.72e-1)","unprognostic (5.66e-2)","unprognostic (1.46e-1)","unprognostic (4.67e-2)","unprognostic (3.18e-1)","prognostic favorable (1.93e-4)","unprognostic (1.17e-1)","unprognostic (3.19e-2)","unprognostic (1.67e-4)","unprognostic (6.33e-2)","unprognostic (3.27e-2)","unprognostic (6.86e-2)"
"TSHZ3","KIAA1474, TSH3, ZNF537","ENSG00000121297","Teashirt zinc finger homeobox 3","Q63HK5","19","31149979-31349436","Disease related genes, Predicted intracellular proteins, Transcription factors","Transcription, Transcription regulation","Developmental protein, DNA-binding, Repressor","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"ovary: 32.8","Cell type enhanced","Detected in many",NA,"Endometrial stromal cells: 54.1;Excitatory neurons: 33.6;Inhibitory neurons: 82.7;Oligodendrocyte precursor cells: 56.8;Peritubular cells: 30.0","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in many",NA,"","Immune cell enhanced","Detected in some",NA,"neutrophil: 1.9","Low lineage specificity","Detected in many",NA,"","Cancer enhanced","Detected in many",NA,"Bone cancer: 22.1;Sarcoma: 12.6","Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Heart muscle - Fibroblasts","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA008834, HPA071010","Approved","","Enhanced","Nucleoplasm,Plasma membrane","","No","No",NA,NA,"Cluster 9: Neutrophils - Innate immune response","Cluster 89: Fibroblasts - ECM organization","Cluster 28: Bone cancer CADO-ES1 - Glutamate signalling","Cluster 37: Neurons - Neuronal signaling","Nucleoplasm","Plasma membrane","HPA008834: AB_1080731, HPA071010: ","unprognostic (2.56e-1)","unprognostic (3.88e-1)","unprognostic (4.56e-2)","unprognostic (3.66e-1)","unprognostic (1.66e-3)","unprognostic (4.07e-2)","unprognostic (1.67e-1)","unprognostic (2.46e-1)","unprognostic (1.76e-1)","unprognostic (3.58e-3)","unprognostic (2.23e-1)","unprognostic (3.91e-2)","prognostic unfavorable (2.92e-4)","unprognostic (8.76e-3)","unprognostic (8.22e-2)","unprognostic (1.91e-2)","unprognostic (1.73e-3)"
"TSPAN5","NET-4, TM4SF9, Tspan-5","ENSG00000168785","Tetraspanin 5","P62079","4","98470367-98658611","Predicted membrane proteins","","","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"brain: 62.0","Cell type enhanced","Detected in many",NA,"Excitatory neurons: 357.0;Inhibitory neurons: 242.8;Microglial cells: 190.6;Oligodendrocytes: 554.3","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in many",NA,"","Group enriched","Detected in many",37,"B-cells: 3.0;NK-cells: 3.8;T-cells: 6.0","Low cancer specificity","Detected in all",NA,"","Adipose visceral - Mesothelial cells, Skin - Keratinocyte (other), Thyroid - Thyroid glandular cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA079522","","","Approved","Nucleoplasm,Plasma membrane,Actin filaments","",NA,NA,NA,NA,"Cluster 26: Non-specific - Mitochondria","Cluster 21: Non-specific - Transcription","Cluster 3: HUVEC & TIME - Signal transduction","Cluster 8: Oligodendrocytes - Myelin sheath organization","Plasma membrane, Actin filaments","Nucleoplasm","HPA079522: ","unprognostic (2.29e-1)","unprognostic (3.47e-1)","unprognostic (1.17e-1)","unprognostic (2.00e-3)","unprognostic (2.65e-1)","unprognostic (2.44e-3)","unprognostic (1.41e-2)","unprognostic (1.54e-2)","unprognostic (9.27e-2)","unprognostic (1.79e-1)","unprognostic (3.30e-3)","unprognostic (1.90e-1)","prognostic unfavorable (7.83e-5)","prognostic unfavorable (8.56e-4)","unprognostic (2.15e-1)","unprognostic (3.23e-3)","unprognostic (1.23e-1)"
"TSPAN6","T245, TM4SF6, TSPAN-6","ENSG00000000003","Tetraspanin 6","O43657","X","100627108-100639991","Predicted intracellular proteins, Predicted membrane proteins","","","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in many",NA,"","Cell type enhanced","Detected in many",NA,"Early spermatids: 327.0;Granulosa cells: 665.3;Late spermatids: 1778.6","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Immune cell enhanced","Detected in some",NA,"naive CD4 T-cell: 2.1","Lineage enriched","Detected in single",6,"T-cells: 2.1","Low cancer specificity","Detected in many",NA,"","Liver - Hepatocytes, Testis - Late spermatids, Thyroid - Thyroid glandular cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA004109","Approved","","Approved","Nucleoli fibrillar center,Cell Junctions,Cytosol","",NA,NA,NA,NA,"Cluster 32: T-cells - Unknown function","Cluster 23: Testis - Cell cycle regulation","Cluster 46: Non-specific - Unknown function","Cluster 17: Granulosa cells - Transcription regulation","Cell Junctions, Cytosol","Nucleoli fibrillar center","HPA004109: AB_1080301","unprognostic (7.71e-2)","unprognostic (8.97e-2)","unprognostic (3.56e-2)","unprognostic (2.57e-1)","unprognostic (2.71e-3)","unprognostic (5.93e-2)","unprognostic (1.04e-1)","unprognostic (1.09e-2)","unprognostic (1.19e-2)","unprognostic (1.80e-3)","unprognostic (2.04e-3)","unprognostic (8.76e-2)","unprognostic (3.83e-3)","unprognostic (4.28e-2)","unprognostic (1.14e-1)","unprognostic (2.24e-1)","unprognostic (9.54e-3)"
"TSSK4","C14orf20, STK22E","ENSG00000139908","Testis specific serine kinase 4","Q6SA08","14","24205696-24208362","Enzymes, Predicted intracellular proteins, Predicted membrane proteins","Differentiation, Spermatogenesis","Developmental protein, Kinase, Serine/threonine-protein kinase, Transferase","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enriched","Detected in many",9,"testis: 38.1","Cell type enriched","Detected in some",9,"Early spermatids: 309.4","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in single",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Low cancer specificity","Detected in many",NA,"","Testis - Early spermatids, Testis - Late spermatids","Not detected","Not detected",NA,"","Low region specificity","Detected in all",NA,"","HPA060660, HPA077103","Approved","","Approved","Cell Junctions","",NA,NA,NA,NA,"Cluster 33: Neutrophils - Chromatin organization","Cluster 83: Testis - Spermatogenesis","Cluster 46: Non-specific - Unknown function","Cluster 57: Early spermatids - Flagellum & Golgi organization","Cell Junctions","","HPA060660: AB_2684339, HPA077103: AB_2732332","unprognostic (1.95e-1)","unprognostic (4.30e-2)","unprognostic (1.52e-1)","unprognostic (5.69e-2)","unprognostic (2.36e-1)","unprognostic (3.38e-5)","unprognostic (1.06e-1)","unprognostic (6.25e-3)","unprognostic (1.64e-1)","unprognostic (3.39e-1)","unprognostic (7.03e-3)","unprognostic (1.27e-3)","unprognostic (3.42e-1)","unprognostic (4.30e-2)","unprognostic (6.28e-2)","unprognostic (8.98e-2)","unprognostic (7.26e-2)"
