Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
SLC34A1	"NAPI-3, NPT2, NPTIIa, SLC11, SLC17A2"	ENSG00000131183	"Solute carrier family 34 member 1"	Q06495	5	177379235-177398848	"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Sodium transport, Symport, Transport"		"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	54	"kidney: 155.4"	"Cell type enriched"	"Detected in some"	8	"Proximal tubular cells: 102.3"	"Cancer enriched"	"Detected in single"	12	"renal cancer: 1.8"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA051255, HPA077175"	Approved		Approved	"Nucleoplasm,Nuclear speckles,Plasma membrane,Mitotic spindle,Cytosol"		Yes	NA				"Cluster 7: Kidney - Transmembrane transport"	"Cluster 32: Myeloid leukemia - Oxygen transport"	"Cluster 60: Proximal tubular cells - Absorption"	"Nuclear speckles, Plasma membrane"	"Nucleoplasm, Mitotic spindle, Cytosol"	"HPA051255: AB_2681409, HPA077175: "	"unprognostic (1.17e-1)"	"unprognostic (3.33e-3)"	"unprognostic (1.49e-1)"	"unprognostic (3.49e-2)"		"unprognostic (1.56e-3)"	"unprognostic (2.28e-1)"	"unprognostic (4.50e-2)"	"unprognostic (4.43e-3)"	"unprognostic (1.91e-1)"	"unprognostic (1.14e-1)"	"unprognostic (5.95e-2)"	"unprognostic (1.23e-3)"	"unprognostic (1.38e-1)"	"unprognostic (2.01e-1)"	"unprognostic (1.28e-2)"	"unprognostic (4.66e-2)"
SLC4A9	AE4	ENSG00000113073	"Solute carrier family 4 member 9"	Q96Q91	5	140360194-140375141	"Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	"Anion exchange, Antiport, Ion transport, Transport"			"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enriched"	"Detected in some"	24	"kidney: 35.5"	"Cell type enhanced"	"Detected in some"		"Collecting duct cells: 3.9;Distal tubular cells: 3.1;Excitatory neurons: 2.4;Inhibitory neurons: 2.3;Oligodendrocyte precursor cells: 1.4;Oligodendrocytes: 6.1;Spermatocytes: 1.7"	"Cancer enriched"	"Detected in single"	8	"renal cancer: 0.9"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Adipose visceral - Mesothelial cells, Kidney - Intercalated cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA051307	Uncertain		Approved	"Vesicles,Plasma membrane,Cytosol"		NA	NA				"Cluster 7: Kidney - Transmembrane transport"	"Cluster 44: Myeloma - Humoral immune response"	"Cluster 8: Oligodendrocytes - Myelin sheath organization"	"Plasma membrane, Cytosol"	Vesicles	"HPA051307: AB_2681434"	"unprognostic (1.68e-1)"	"unprognostic (4.22e-2)"	"unprognostic (2.20e-1)"	"unprognostic (1.47e-1)"	"unprognostic (1.10e-1)"	"unprognostic (2.13e-1)"	"unprognostic (1.02e-2)"	"unprognostic (3.28e-3)"	"unprognostic (2.78e-1)"	"unprognostic (2.47e-1)"	"unprognostic (4.78e-2)"	"unprognostic (1.19e-1)"	"unprognostic (4.24e-2)"	"unprognostic (2.99e-2)"	"unprognostic (3.06e-2)"	"unprognostic (5.04e-2)"	"unprognostic (1.82e-2)"
SLC5A12	"MGC52019, SMCT2"	ENSG00000148942	"Solute carrier family 5 member 12"	Q1EHB4	11	26667020-26723427	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Ion transport, Sodium transport, Symport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"epididymis: 47.7;intestine: 30.1;kidney: 171.7"	"Group enriched"	"Detected in some"	31	"Proximal enterocytes: 250.8;Proximal tubular cells: 151.1"	"Cancer enriched"	"Detected in single"	26	"renal cancer: 9.0"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"testis cancer: 3.3"	"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA060904	Enhanced		Supported	"Nucleoplasm,Plasma membrane"		NA	NA				"Cluster 7: Kidney - Transmembrane transport"	"Cluster 7: Neuronal cell lines - Stereocilium"	"Cluster 59: Proximal enterocytes - Transmembrane transport"	"Plasma membrane"	Nucleoplasm	"HPA060904: AB_2684385"	"unprognostic (3.69e-3)"	"unprognostic (6.92e-2)"	"unprognostic (1.79e-1)"	"unprognostic (2.86e-1)"	"unprognostic (2.01e-2)"	"unprognostic (9.35e-3)"	"unprognostic (4.21e-3)"	"unprognostic (4.49e-2)"	"unprognostic (2.36e-3)"	"unprognostic (1.71e-1)"	"unprognostic (2.03e-2)"	"unprognostic (3.43e-1)"	"unprognostic (2.91e-3)"	"unprognostic (1.34e-1)"	"unprognostic (8.53e-2)"	"unprognostic (1.42e-2)"	"unprognostic (9.40e-3)"
SLC5A7	"CHT1, hCHT"	ENSG00000115665	"Solute carrier family 5 member 7"	Q9GZV3	2	107986523-108013994	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Ion transport, Neurotransmitter biosynthesis, Sodium transport, Symport, Transport"		"Congenital myasthenic syndrome, Disease variant, Neurodegeneration, Neuropathy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	12	"brain: 32.9"	"Cell type enhanced"	"Detected in some"		"Alveolar cells type 1: 2.3;Bipolar cells: 1.5;Club cells: 1.7;Melanocytes: 1.7"	"Cancer enhanced"	"Detected in single"		"testis cancer: 0.8"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	6	"Neuroblastoma: 2.8"	"Colon - Enteric glia cells"	"Group enriched"	"Detected in many"	4	"basal ganglia: 23.1;hypothalamus: 9.0;midbrain: 9.4;pons and medulla: 14.4;thalamus: 6.2"	"Group enriched"	"Detected in many"	6	"basal ganglia: 20.4;pons: 26.5;spinal cord: 46.7"	HPA046105			Approved	"Nuclear bodies,Cell Junctions,Intermediate filaments"		NA	NA				"Cluster 73: Brain - Neuropeptide signaling"	"Cluster 29: TT & NCI-H1385 - Synaptic signal transduction"	"Cluster 9: Neurons - Nervous system development"	"Cell Junctions, Intermediate filaments"	"Nuclear bodies"	"HPA046105: "	"unprognostic (2.98e-1)"		"unprognostic (1.01e-1)"					"unprognostic (1.29e-3)"			"unprognostic (7.10e-2)"	"unprognostic (1.66e-1)"	"unprognostic (3.39e-4)"	"unprognostic (1.05e-2)"	"unprognostic (9.78e-3)"	"unprognostic (6.42e-2)"	"unprognostic (1.61e-2)"
SLC6A7	PROT	ENSG00000011083	"Solute carrier family 6 member 7"	Q99884	5	150190062-150222788	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Amino-acid transport, Neurotransmitter transport, Symport, Transport"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	37	"brain: 21.5;intestine: 5.5"	"Cell type enriched"	"Detected in some"	4	"Excitatory neurons: 41.0"	"Cancer enhanced"	"Detected in single"		"colorectal cancer: 0.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"colorectal cancer: 2.1"	"Colon - Colon enterocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"HPA028907, HPA063773"	Uncertain		Approved	"Plasma membrane,Cytosol"		NA	NA				"Cluster 6: Brain - Smell perception"	"Cluster 19: Stomach & Colon cancer - Absorption"	"Cluster 38: Neurons - Neuronal signaling"	"Plasma membrane, Cytosol"		"HPA028907: AB_10602404, HPA063773: "	"unprognostic (3.01e-1)"	"unprognostic (1.97e-2)"	"unprognostic (3.70e-2)"	"unprognostic (1.42e-3)"	"unprognostic (1.09e-2)"	"unprognostic (1.82e-4)"	"unprognostic (6.42e-2)"	"unprognostic (1.35e-1)"	"unprognostic (1.59e-1)"	"unprognostic (1.33e-1)"	"unprognostic (2.55e-1)"	"unprognostic (3.50e-1)"	"unprognostic (3.73e-4)"	"unprognostic (8.11e-2)"	"unprognostic (5.46e-2)"	"unprognostic (2.73e-1)"	"unprognostic (3.70e-3)"
SLC7A14	"KIAA1613, PPP1R142"	ENSG00000013293	"Solute carrier family 7 member 14"	Q8TBB6	3	170459548-170586075	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Amino-acid transport, Transport"		"Retinitis pigmentosa"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"brain: 15.9;pituitary gland: 7.3;retina: 6.1"	"Group enriched"	"Detected in some"	5	"Bipolar cells: 24.4;Excitatory neurons: 61.0;Horizontal cells: 30.1;Inhibitory neurons: 88.2;Oligodendrocytes: 63.6"	"Group enriched"	"Detected in some"	11	"glioma: 0.8;pancreatic cancer: 0.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	6	"Neuroblastoma: 10.2"	"Colon - Colon enteroendocrine cells, Pancreas - Alpha cells, Thyroid - Parafollicular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA045929	Approved		Approved	"Nucleoplasm,Vesicles,Plasma membrane,Cytosol"		NA	NA				"Cluster 26: Pituitary gland - Hormone signaling"	"Cluster 21: Neuroblastoma - Neuronal signaling"	"Cluster 37: Neurons - Neuronal signaling"	"Vesicles, Cytosol"	"Nucleoplasm, Plasma membrane"	"HPA045929: AB_2679501"	"unprognostic (1.00e-1)"		"unprognostic (9.56e-2)"	"unprognostic (1.03e-1)"	"unprognostic (4.15e-2)"	"unprognostic (1.43e-2)"	"unprognostic (7.46e-2)"	"unprognostic (9.16e-2)"	"unprognostic (1.13e-1)"	"unprognostic (1.29e-1)"	"unprognostic (6.68e-3)"	"unprognostic (6.36e-2)"	"unprognostic (3.03e-6)"	"unprognostic (1.54e-2)"	"unprognostic (8.05e-2)"	"unprognostic (1.71e-2)"	"unprognostic (3.24e-3)"
SLC9A4	NHE4	ENSG00000180251	"Solute carrier family 9 member A4"	Q6AI14	2	102473226-102533972	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Antiport, Ion transport, Sodium transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	6	"stomach 1: 53.8"	"Cell type enriched"	"Detected in some"	4	"Gastric mucus-secreting cells: 59.0"	"Cancer enhanced"	"Detected in some"		"urothelial cancer: 2.1"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Gastric cancer: 2.7"	"Skin - Eccrine sweat gland cells"	"Group enriched"	"Detected in some"	18	"hippocampal formation: 10.6;olfactory bulb: 6.8"	"Low region specificity"	"Detected in single"			HPA036096	Supported		Approved	"Nucleoplasm,Plasma membrane"		NA	NA				"Cluster 4: Stomach - Digestion"	"Cluster 2: DU4475 - Unknown function"	"Cluster 58: Gastric mucus-secreting cells - Digestion"	"Nucleoplasm, Plasma membrane"		"HPA036096: AB_2674939"	"unprognostic (1.41e-1)"	"unprognostic (3.76e-2)"	"unprognostic (9.31e-2)"	"unprognostic (3.09e-3)"	"unprognostic (7.58e-2)"	"unprognostic (1.46e-1)"		"unprognostic (7.17e-2)"	"unprognostic (5.35e-1)"	"unprognostic (9.44e-3)"	"unprognostic (3.26e-2)"	"unprognostic (1.30e-1)"	"unprognostic (2.46e-2)"	"unprognostic (3.12e-1)"	"unprognostic (5.04e-1)"	"unprognostic (2.50e-1)"	"unprognostic (1.98e-2)"
SLC9C2	"MGC43026, SLC9A11"	ENSG00000162753	"Solute carrier family 9 member C2 (putative)"	Q5TAH2	1	173500460-173603072	"Predicted membrane proteins, Transporters"	"Antiport, Ion transport, Sodium transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 1.3;choroid plexus: 1.9;testis: 6.0"	"Cell type enriched"	"Detected in some"	4	"Astrocytes: 26.3"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Lung - Respiratory ciliated cells, Testis - Early spermatids"					"Low region specificity"	"Detected in all"			"HPA059122, HPA079529"	Enhanced		Supported	"Nuclear speckles,Plasma membrane"		NA	NA				"Cluster 49: Ciliated cells - Cilium organization"	"Cluster 33: Skin cancer - Membrane components"	"Cluster 63: Astrocytes - Nervous system maintenance"	"Plasma membrane"	"Nuclear speckles"	"HPA059122: , HPA079529: "	"unprognostic (2.10e-1)"	"unprognostic (2.69e-1)"		"unprognostic (8.52e-2)"	"unprognostic (5.88e-3)"	"unprognostic (3.24e-2)"	"unprognostic (2.21e-1)"	"unprognostic (1.29e-3)"	"unprognostic (1.19e-1)"	"unprognostic (4.21e-2)"	"unprognostic (4.92e-1)"	"unprognostic (1.88e-1)"	"unprognostic (1.18e-6)"	"unprognostic (1.66e-1)"	"unprognostic (1.01e-2)"	"unprognostic (2.98e-1)"	"unprognostic (1.81e-1)"
SLCO1A2	"OATP, OATP-A, OATP1A2, SLC21A3"	ENSG00000084453	"Solute carrier organic anion transporter family member 1A2"	P46721	12	21264600-21419594	"Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 82.0;choroid plexus: 28.6"	"Cell type enriched"	"Detected in some"	4	"Oligodendrocytes: 460.3"	"Cancer enhanced"	"Detected in some"		"testis cancer: 2.5"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in many"		"testis cancer: 16.1"	"Liver - Hepatocytes, Lung - Alveolar cells type 1"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA071152			Supported	"Plasma membrane"		No	No			"Cluster 1: Neutrophils - Mixed function"	"Cluster 70: Brain - Nervous system development"	"Cluster 52: Spermatids - Smell perception"	"Cluster 8: Oligodendrocytes - Myelin sheath organization"	"Plasma membrane"		"HPA071152: AB_2686350"	"unprognostic (5.43e-3)"	"unprognostic (2.33e-1)"	"unprognostic (1.28e-1)"	"unprognostic (8.59e-2)"	"unprognostic (1.08e-1)"	"unprognostic (6.36e-2)"	"unprognostic (7.63e-2)"	"unprognostic (1.53e-1)"	"unprognostic (3.82e-2)"	"unprognostic (1.54e-2)"	"unprognostic (1.51e-1)"	"unprognostic (8.82e-2)"	"unprognostic (1.66e-4)"	"unprognostic (2.52e-2)"	"unprognostic (3.20e-1)"		"unprognostic (1.24e-1)"
SLCO1B3	"OATP1B3, OATP8, SLC21A8"	ENSG00000111700	"Solute carrier organic anion transporter family member 1B3"	Q9NPD5	12	20810702-20916911	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Ion transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	16	"liver: 265.1"	"Cell type enriched"	"Detected in some"	25	"Hepatocytes: 200.7"	"Cancer enriched"	"Detected in many"	4	"liver cancer: 5.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Bile duct cancer: 51.9"	"Liver - Hepatocytes"									"HPA004943, HPA050892"	Enhanced		Supported	"Plasma membrane"		NA	NA				"Cluster 62: Liver - Hemostasis"	"Cluster 19: Stomach & Colon cancer - Absorption"	"Cluster 13: Hepatocytes - Oxidoreductase activity"	"Plasma membrane"		"HPA004943: AB_1854758, HPA050892: AB_2681265"		"unprognostic (5.36e-2)"	"unprognostic (1.25e-1)"	"unprognostic (6.95e-2)"		"unprognostic (1.63e-2)"	"unprognostic (1.89e-2)"	"unprognostic (7.09e-2)"		"unprognostic (3.08e-2)"	"unprognostic (1.54e-2)"	"unprognostic (7.37e-2)"		"unprognostic (1.50e-1)"	"unprognostic (6.61e-3)"		"unprognostic (2.36e-3)"
SLCO4C1	"OATP-H, OATP4C1, OATPX, SLC21A20"	ENSG00000173930	"Solute carrier organic anion transporter family member 4C1"	Q6ZQN7	5	102233986-102296284	"Predicted membrane proteins, Transporters"	"Differentiation, Ion transport, Spermatogenesis, Transport"	"Developmental protein"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"kidney: 41.6"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 2: 42.2;Early spermatids: 25.4;NK-cells: 17.6;Proximal tubular cells: 25.3"	"Cancer enriched"	"Detected in many"	5	"renal cancer: 22.4"	"Not detected"	"Not detected"			"Immune cell enhanced"	"Detected in many"		"basophil: 9.5;neutrophil: 9.8"	"Group enriched"	"Detected in many"	5	"granulocytes: 9.8;NK-cells: 2.6;T-cells: 3.8"	"Cancer enhanced"	"Detected in some"		"Kidney cancer: 7.2"	"Liver - Hepatocytes, Lung - Alveolar cells type 2, Skin - Sebaceous gland cells, Testis - Early spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA058249			Approved	"Nucleoplasm,Plasma membrane,Cytosol"		NA	NA			"Cluster 2: Granulocytes - Unknown function"	"Cluster 7: Kidney - Transmembrane transport"	"Cluster 68: Kidney - Mixed function"	"Cluster 60: Proximal tubular cells - Absorption"	"Plasma membrane"	"Nucleoplasm, Cytosol"	"HPA058249: "	"unprognostic (1.63e-2)"	"unprognostic (2.47e-2)"	"unprognostic (4.48e-4)"	"unprognostic (5.70e-6)"	"unprognostic (7.43e-2)"	"unprognostic (7.71e-3)"	"unprognostic (3.24e-3)"	"unprognostic (2.05e-3)"	"unprognostic (2.13e-1)"	"unprognostic (7.12e-2)"	"unprognostic (3.87e-3)"	"unprognostic (5.83e-2)"	"prognostic favorable (1.12e-4)"	"unprognostic (3.29e-2)"	"unprognostic (1.07e-1)"	"unprognostic (5.91e-2)"	"unprognostic (8.22e-2)"
SLCO5A1	"OATP-J, OATP5A1, OATPRP4, SLC21A15"	ENSG00000137571	"Solute carrier organic anion transporter family member 5A1"	Q9H2Y9	8	69667046-69834978	"Predicted membrane proteins, Transporters"	Transport			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"lymphoid tissue: 6.5;skeletal muscle: 7.6;tongue: 11.1"	"Cell type enhanced"	"Detected in many"		"Horizontal cells: 21.1;Inhibitory neurons: 29.4;Oligodendrocyte precursor cells: 25.0;Plasma cells: 12.7;Prostatic glandular cells: 20.9;Skeletal myocytes: 24.7"	"Cancer enhanced"	"Detected in some"		"prostate cancer: 1.5"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Bone cancer: 20.3"	"Prostate - Prostate glandular cells, Skeletal muscle - Skeletal myocytes"	"Group enriched"	"Detected in some"	7	"basal ganglia: 2.3;olfactory bulb: 6.7"	"Region enriched"	"Detected in some"	7	"olfactory bulb: 12.8"	HPA025062	Uncertain		Supported	"Vesicles,Plasma membrane"		NA	NA				"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 28: Bone cancer CADO-ES1 - Glutamate signalling"	"Cluster 37: Neurons - Neuronal signaling"	"Plasma membrane"	Vesicles	"HPA025062: AB_1857220"	"unprognostic (1.30e-3)"	"unprognostic (7.35e-3)"	"unprognostic (4.13e-2)"	"unprognostic (1.14e-2)"	"unprognostic (1.48e-1)"	"unprognostic (5.70e-2)"	"unprognostic (1.46e-2)"	"unprognostic (1.51e-1)"	"unprognostic (2.37e-4)"	"unprognostic (1.75e-1)"	"unprognostic (4.48e-4)"	"unprognostic (1.74e-2)"	"unprognostic (2.92e-6)"	"unprognostic (2.20e-1)"	"unprognostic (1.23e-1)"	"unprognostic (2.13e-1)"	"unprognostic (4.50e-2)"
SLIT1	"MEGF4, SLIL1, Slit-1, SLIT3"	ENSG00000187122	"Slit guidance ligand 1"	O75093	10	96998038-97185959	"Predicted secreted proteins"	"Differentiation, Neurogenesis"	"Developmental protein"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	9	"brain: 32.5;pituitary gland: 13.5"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 12.6;Excitatory neurons: 94.8;Inhibitory neurons: 33.9;Late spermatids: 29.3;Oligodendrocyte precursor cells: 24.1"	"Group enriched"	"Detected in many"	4	"glioma: 9.2;thyroid cancer: 10.2"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Leukemia: 10.8;thyroid cancer: 8.4"	"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA006879			Approved	"Plasma membrane"	"Secreted in brain"	NA	NA				"Cluster 10: Brain - Neuronal signaling"	"Cluster 12: Lymphoid cancers - Adaptive immune response"	"Cluster 38: Neurons - Neuronal signaling"	"Plasma membrane"		"HPA006879: AB_1078197"	"unprognostic (2.72e-1)"	"unprognostic (2.25e-2)"	"unprognostic (5.67e-3)"	"unprognostic (1.43e-5)"	"unprognostic (8.40e-2)"	"unprognostic (2.60e-3)"	"unprognostic (4.57e-2)"	"unprognostic (1.81e-2)"	"unprognostic (3.53e-1)"	"unprognostic (6.06e-2)"	"unprognostic (2.28e-3)"	"unprognostic (1.46e-1)"	"unprognostic (1.08e-5)"	"unprognostic (1.66e-1)"	"unprognostic (2.18e-1)"	"unprognostic (1.21e-1)"	"unprognostic (4.39e-3)"
SMCO3	"C12orf69, LOC440087"	ENSG00000179256	"Single-pass membrane protein with coiled-coil domains 3"	A2RU48	12	14804650-14814182	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"cervix: 3.4;kidney: 3.0"	"Cell type enhanced"	"Detected in some"		"Cholangiocytes: 1.9;Collecting duct cells: 2.0;Distal tubular cells: 9.3;Prostatic glandular cells: 1.9;Proximal tubular cells: 6.1;Schwann cells: 4.6"	"Cancer enhanced"	"Detected in some"		"prostate cancer: 3.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	5	"Rhabdoid: 1.4"	"Kidney - Podocytes, Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Region enriched"	"Detected in single"	7	"spinal cord: 3.6"	"HPA040574, HPA047804"	Uncertain		Approved	"Plasma membrane"		NA	NA				"Cluster 81: Kidney & Liver - Metabolism"	"Cluster 22: Rhabdoid cancers - Neuronal signaling"	"Cluster 60: Proximal tubular cells - Absorption"	"Plasma membrane"		"HPA040574: AB_2677026, HPA047804: AB_2680160"	"unprognostic (1.16e-1)"	"unprognostic (2.09e-4)"	"unprognostic (2.40e-4)"	"unprognostic (5.10e-2)"	"unprognostic (3.88e-2)"	"unprognostic (6.45e-2)"	"unprognostic (4.43e-2)"	"unprognostic (2.86e-2)"	"unprognostic (1.52e-1)"	"unprognostic (1.32e-1)"	"unprognostic (7.31e-2)"	"unprognostic (3.66e-2)"	"unprognostic (1.48e-8)"	"unprognostic (2.85e-1)"	"unprognostic (7.53e-3)"	"unprognostic (2.05e-1)"	"unprognostic (1.38e-1)"
