"","Subcellular.location..CC.","Intramembrane","Topological.domain","Transmembrane"
"Q9Y2J2","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}. Cell junction {ECO:0000269|PubMed:9892180}. Cell membrane {ECO:0000269|PubMed:9892180}; Peripheral membrane protein {ECO:0000269|PubMed:9892180}; Cytoplasmic side {ECO:0000269|PubMed:9892180}. Cytoplasm {ECO:0000269|PubMed:9892180}. Note=Detected in the cytoplasm of actively dividing cells.",NA,NA,NA
"P29317","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18794797, ECO:0000269|PubMed:19573808, ECO:0000269|PubMed:20223987, ECO:0000269|PubMed:20861311, ECO:0000269|PubMed:34067457}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, ruffle membrane {ECO:0000269|PubMed:19573808}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, lamellipodium membrane {ECO:0000269|PubMed:19573808}; Single-pass type I membrane protein {ECO:0000255}. Cell junction, focal adhesion {ECO:0000269|PubMed:10655584}. Note=Present at regions of cell-cell contacts but also at the leading edge of migrating cells (PubMed:19573808, PubMed:20861311). Relocates from the plasma membrane to the cytoplasmic and perinuclear regions in cancer cells (PubMed:18794797). {ECO:0000269|PubMed:18794797, ECO:0000269|PubMed:19573808, ECO:0000269|PubMed:20861311, ECO:0000269|PubMed:26158630}.",NA,"TOPO_DOM 24..537; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 559..976; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 538..558; /note=Helical; /evidence=ECO:0000255"
"Q96AP7","SUBCELLULAR LOCATION: Cell junction, adherens junction {ECO:0000250|UniProtKB:Q925F2}. Cell junction, tight junction {ECO:0000250|UniProtKB:Q925F2}. Cell membrane {ECO:0000269|PubMed:36996813}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q925F2}.",NA,"TOPO_DOM 30..248; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 270..390; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 249..269; /note=Helical; /evidence=ECO:0000255"
"Q56NI9","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15958495, ECO:0000269|PubMed:19907496}. Chromosome {ECO:0000269|PubMed:15958495, ECO:0000269|PubMed:19907496}. Note=Nuclear in interphase cells, excluded from chromosomes during metaphase but reassociates with chromosomes in telophase. {ECO:0000269|PubMed:15958495}.",NA,NA,NA
"Q9Y624","SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000269|PubMed:11171323}. Cell membrane {ECO:0000269|PubMed:11171323}; Single-pass type I membrane protein {ECO:0000269|PubMed:11171323}. Note=Localized at tight junctions of both epithelial and endothelial cells. {ECO:0000269|PubMed:11171323}.",NA,"TOPO_DOM 28..238; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 260..299; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 239..259; /note=Helical; /evidence=ECO:0000255"
"Q6NZ36","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22343915, ECO:0000269|PubMed:22705371}. Chromosome {ECO:0000305|PubMed:22343915, ECO:0000305|PubMed:22705371}. Note=Following DNA damage, recruited to DNA interstrand cross-links (ICLs) sites by binding to ubiquitin generated by RNF8. {ECO:0000269|PubMed:22705371}.",NA,NA,NA
"Q8IXS8","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9BYI3}. Cell membrane {ECO:0000250|UniProtKB:Q9BYI3}.",NA,NA,NA
"O94988",NA,NA,NA,NA
"Q5JX71","SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000250|UniProtKB:A2APA5}; Single-pass type I membrane protein {ECO:0000255}.",NA,"TOPO_DOM 20..52; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 74..171; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 53..73; /note=Helical; /evidence=ECO:0000255"
"Q5U5X8",NA,NA,NA,NA
"Q8TDW7","SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.",NA,"TOPO_DOM 33..4154; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 4176..4557; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 4155..4175; /note=Helical; /evidence=ECO:0000255"
"Q8WUP2","SUBCELLULAR LOCATION: Cell junction, focal adhesion {ECO:0000269|PubMed:12679033, ECO:0000269|PubMed:18829455}. Cytoplasm, cytoskeleton, stress fiber {ECO:0000269|PubMed:12496242, ECO:0000269|PubMed:12679033, ECO:0000269|PubMed:18829455}. Note=Associated with actin stress fiber at cell-ECM focal adhesion sites (PubMed:12679033, PubMed:18829455). Isoform 1 and isoform 3 are recruited and localized at actin stress fibers and clustered at cell-EMC adhesion sites through interaction with FERMT2 (PubMed:12679033). Isoform 2 is localized at actin stress fibers (PubMed:12496242). {ECO:0000269|PubMed:12496242, ECO:0000269|PubMed:12679033, ECO:0000269|PubMed:18829455}.",NA,NA,NA
"Q53RD9","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.",NA,NA,NA
"P21802","SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Golgi apparatus. Cytoplasmic vesicle. Note=Detected on osteoblast plasma membrane lipid rafts. After ligand binding, the activated receptor is rapidly internalized and degraded.; SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein. Note=After ligand binding, the activated receptor is rapidly internalized and degraded.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane; Single-pass type I membrane protein. Note=After ligand binding, the activated receptor is rapidly internalized and degraded.; SUBCELLULAR LOCATION: [Isoform 8]: Secreted.; SUBCELLULAR LOCATION: [Isoform 13]: Secreted.",NA,"TOPO_DOM 22..377; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 399..821; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 378..398; /note=Helical; /evidence=ECO:0000255"
"Q8N539","SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.",NA,"TOPO_DOM 1..33; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 55..461; /note=Extracellular; /evidence=ECO:0000255","TRANSMEM 34..54; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"Q9NZU0","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q8BGT1}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q8BGT1}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q8BGT1}. Cell junction, focal adhesion {ECO:0000250|UniProtKB:Q8BGT1}. Secreted {ECO:0000250|UniProtKB:Q8BGT1}. Cell projection, axon {ECO:0000250|UniProtKB:Q8BGT1}. Cell projection, growth cone membrane {ECO:0000250|UniProtKB:Q8BGT1}. Note=Detected on dendritic punctae that colocalize in part with glutamaergic synapses, but not with GABAergic synapses. Proteolytic cleavage in the juxtamembrane region gives rise to a shedded ectodomain. {ECO:0000250|UniProtKB:B1H234, ECO:0000250|UniProtKB:Q8BGT1}.",NA,"TOPO_DOM 29..528; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 550..649; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 529..549; /note=Helical; /evidence=ECO:0000255"
"P35916","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20445537, ECO:0000269|PubMed:7898938}; Single-pass type I membrane protein. Cytoplasm {ECO:0000269|PubMed:16452200, ECO:0000269|PubMed:20445537}. Nucleus {ECO:0000269|PubMed:16452200}. Note=Ligand-mediated autophosphorylation leads to rapid internalization. {ECO:0000269|PubMed:20445537}.; SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein. Note=Ligand-mediated autophosphorylation leads to rapid internalization.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted. Cytoplasm.",NA,"TOPO_DOM 25..775; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 797..1363; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 776..796; /note=Helical; /evidence=ECO:0000255"
"Q9Y5Y0","SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:15369674, ECO:0000269|PubMed:22483575, ECO:0000269|PubMed:37100056, ECO:0000269|PubMed:38778100}; Multi-pass membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Mitochondrion membrane {ECO:0000269|PubMed:23187127}; Multi-pass membrane protein {ECO:0000255}.",NA,"TOPO_DOM 1..99; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TOPO_DOM 125..142; /note=Extracellular; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TOPO_DOM 171..172; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TOPO_DOM 193..199; /note=Extracellular; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TOPO_DOM 229..233; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TOPO_DOM 260..265; /note=Extracellular; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TOPO_DOM 296..331; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TOPO_DOM 363..366; /note=Extracellular; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TOPO_DOM 396..397; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TOPO_DOM 421..423; /note=Extracellular; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TOPO_DOM 454..461; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TOPO_DOM 488..489; /note=Extracellular; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TOPO_DOM 513..555; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ","TRANSMEM 100..124; /note=Helical; Name=TM1; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TRANSMEM 143..170; /note=Helical; Name=TM2; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TRANSMEM 173..192; /note=Helical; Name=TM3; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TRANSMEM 200..228; /note=Helical; Name=TM4; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TRANSMEM 234..259; /note=Helical; Name=TM5; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TRANSMEM 266..295; /note=Helical; Name=TM6; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TRANSMEM 332..362; /note=Helical; Name=TM7; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TRANSMEM 367..395; /note=Helical; Name=TM8; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TRANSMEM 398..420; /note=Helical; Name=TM9; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TRANSMEM 424..453; /note=Helical; Name=TM10; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TRANSMEM 462..487; /note=Helical; Name=TM11; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ; TRANSMEM 490..512; /note=Helical; Name=TM12; /evidence=ECO:0000269|PubMed:38693265, ECO:0000269|PubMed:38778100, ECO:0007744|PDB:8QCS, ECO:0007744|PDB:8QCT, ECO:0007744|PDB:8R8T, ECO:0007744|PDB:8UBW, ECO:0007744|PDB:8UBX, ECO:0007744|PDB:8UBZ"
"Q9Y261","SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00089, ECO:0000269|PubMed:14500912}. Cytoplasm {ECO:0000269|PubMed:14500912}. Note=Shuttles between the nucleus and cytoplasm in a CRM1-dependent manner; in response to insulin signaling via AKT1 is exported from the nucleus.",NA,NA,NA
"Q8WU20","SUBCELLULAR LOCATION: Endomembrane system. Note=Cytoplasmic, membrane-bound.",NA,NA,NA
"Q14332","SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein. Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.",NA,"TOPO_DOM 24..247; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 269..279; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 301..327; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 349..370; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 392..414; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 436..461; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 483..519; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 541..565; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 248..268; /note=Helical; Name=1; /evidence=ECO:0000255; TRANSMEM 280..300; /note=Helical; Name=2; /evidence=ECO:0000255; TRANSMEM 328..348; /note=Helical; Name=3; /evidence=ECO:0000255; TRANSMEM 371..391; /note=Helical; Name=4; /evidence=ECO:0000255; TRANSMEM 415..435; /note=Helical; Name=5; /evidence=ECO:0000255; TRANSMEM 462..482; /note=Helical; Name=6; /evidence=ECO:0000255; TRANSMEM 520..540; /note=Helical; Name=7; /evidence=ECO:0000255"
"Q8IXK2","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.",NA,"TOPO_DOM 1..19; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 38..581; /note=Lumenal; /evidence=ECO:0000255","TRANSMEM 20..37; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"Q99501","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:24706950}. Cytoplasm, cytoskeleton, stress fiber {ECO:0000269|PubMed:24706950}. Note=Colocalizes with the tips of microtubule plus ends. {ECO:0000269|PubMed:24706950}.",NA,NA,NA
"Q9NWU2","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17467196, ECO:0000269|PubMed:24143168, ECO:0000269|PubMed:28829046}. Nucleus {ECO:0000269|PubMed:12559565, ECO:0000269|PubMed:17467196, ECO:0000269|PubMed:24143168, ECO:0000269|PubMed:28829046, ECO:0000269|PubMed:29911972}. Note=Localizes in the cytoplasm in the absence of Wnt stimulation and in the nucleus in the presence of Wnt stimulation. {ECO:0000269|PubMed:28829046}.",NA,NA,NA
"O14908","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:32413282, ECO:0000269|PubMed:9770488}. Membrane {ECO:0000269|PubMed:9770488}; Peripheral membrane protein.",NA,NA,NA
"P17302","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22411987, ECO:0000269|PubMed:25398053}; Multi-pass membrane protein {ECO:0000255}. Cell junction, gap junction {ECO:0000269|PubMed:22411987, ECO:0000269|PubMed:25398053}. Endoplasmic reticulum {ECO:0000250|UniProtKB:P23242}. Note=Localizes at the intercalated disk (ICD) in cardiomyocytes and the proper localization at ICD is dependent on TMEM65. {ECO:0000250|UniProtKB:P23242}.",NA,"TOPO_DOM 2..23; /note=Cytoplasmic; /evidence=ECO:0000250|UniProtKB:P08050; TOPO_DOM 45..76; /note=Extracellular; /evidence=ECO:0000250|UniProtKB:P08050; TOPO_DOM 98..155; /note=Cytoplasmic; /evidence=ECO:0000250|UniProtKB:P08050; TOPO_DOM 177..207; /note=Extracellular; /evidence=ECO:0000250|UniProtKB:P08050; TOPO_DOM 229..382; /note=Cytoplasmic; /evidence=ECO:0000250|UniProtKB:P08050","TRANSMEM 24..44; /note=Helical; /evidence=ECO:0000255; TRANSMEM 77..97; /note=Helical; /evidence=ECO:0000255; TRANSMEM 156..176; /note=Helical; /evidence=ECO:0000255; TRANSMEM 208..228; /note=Helical; /evidence=ECO:0000255"
"O75712","SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Cell junction, gap junction.",NA,"TOPO_DOM 1..20; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 41..75; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 99..126; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 150..187; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 211..270; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 21..40; /note=Helical; /evidence=ECO:0000255; TRANSMEM 76..98; /note=Helical; /evidence=ECO:0000255; TRANSMEM 127..149; /note=Helical; /evidence=ECO:0000255; TRANSMEM 188..210; /note=Helical; /evidence=ECO:0000255"
"Q9NTQ9","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q02738}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q02738}. Cell junction, gap junction {ECO:0000250|UniProtKB:Q02738}. Note=Colocalizes with GJB2 at gap junction plaques in the cochlea. {ECO:0000250|UniProtKB:Q02738}.","INTRAMEM 2..13; /evidence=ECO:0000250|UniProtKB:P29033","TOPO_DOM 14..20; /note=Cytoplasmic; /evidence=ECO:0000305; TOPO_DOM 41..73; /note=Extracellular; /evidence=ECO:0000305; TOPO_DOM 95..130; /note=Cytoplasmic; /evidence=ECO:0000305; TOPO_DOM 152..184; /note=Extracellular; /evidence=ECO:0000305; TOPO_DOM 206..266; /note=Cytoplasmic; /evidence=ECO:0000305","TRANSMEM 21..40; /note=Helical; /evidence=ECO:0000250|UniProtKB:P29033; TRANSMEM 74..94; /note=Helical; /evidence=ECO:0000250|UniProtKB:P29033; TRANSMEM 131..151; /note=Helical; /evidence=ECO:0000250|UniProtKB:P29033; TRANSMEM 185..205; /note=Helical; /evidence=ECO:0000250|UniProtKB:P29033"
"O95452","SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Cell junction, gap junction.",NA,"TOPO_DOM 1..22; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 46..75; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 99..131; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 155..192; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 216..261; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 23..45; /note=Helical; /evidence=ECO:0000255; TRANSMEM 76..98; /note=Helical; /evidence=ECO:0000255; TRANSMEM 132..154; /note=Helical; /evidence=ECO:0000255; TRANSMEM 193..215; /note=Helical; /evidence=ECO:0000255"
"P36383","SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Cell junction, gap junction.",NA,"TOPO_DOM 1..22; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 46..75; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 96..175; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 199..228; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 249..396; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 23..45; /note=Helical; /evidence=ECO:0000255; TRANSMEM 76..95; /note=Helical; /evidence=ECO:0000255; TRANSMEM 176..198; /note=Helical; /evidence=ECO:0000255; TRANSMEM 229..248; /note=Helical; /evidence=ECO:0000255"
"Q9BRR8",NA,NA,NA,NA
"Q7Z601","SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.",NA,"TOPO_DOM 1..152; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 174..195; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 217..233; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 255..278; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 300..316; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 338..357; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 379..397; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 419..462; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 153..173; /note=Helical; Name=1; /evidence=ECO:0000255; TRANSMEM 196..216; /note=Helical; Name=2; /evidence=ECO:0000255; TRANSMEM 234..254; /note=Helical; Name=3; /evidence=ECO:0000255; TRANSMEM 279..299; /note=Helical; Name=4; /evidence=ECO:0000255; TRANSMEM 317..337; /note=Helical; Name=5; /evidence=ECO:0000255; TRANSMEM 358..378; /note=Helical; Name=6; /evidence=ECO:0000255; TRANSMEM 398..418; /note=Helical; Name=7; /evidence=ECO:0000255"
"O60883","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:28688853}; Multi-pass membrane protein {ECO:0000255}. Cell projection, cilium membrane {ECO:0000250|UniProtKB:Q99JG2}; Multi-pass membrane protein {ECO:0000255}. Note=Associates with the basal membrane of Bergmann glia cell primary cilia. {ECO:0000250|UniProtKB:Q99JG2}.",NA,"TOPO_DOM 26..134; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 156..167; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 189..205; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 227..251; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 273..310; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 332..361; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 383..398; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 420..481; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 135..155; /note=Helical; Name=1; /evidence=ECO:0000255; TRANSMEM 168..188; /note=Helical; Name=2; /evidence=ECO:0000255; TRANSMEM 206..226; /note=Helical; Name=3; /evidence=ECO:0000255; TRANSMEM 252..272; /note=Helical; Name=4; /evidence=ECO:0000255; TRANSMEM 311..331; /note=Helical; Name=5; /evidence=ECO:0000255; TRANSMEM 362..382; /note=Helical; Name=6; /evidence=ECO:0000255; TRANSMEM 399..419; /note=Helical; Name=7; /evidence=ECO:0000255"
